Location,county,IndexYear,Population,Total,Rate,PrsnTotal,PrsnRate,Murder,Manslaughter,Forcible_Sex,Assault,Non_Forcible_Sex,Kidnapping_Abduction,Human_Trafficking,Viol_Of_No_Contact,PrprtyTotal,PrprtyRate,Arson,Bribery,Burglary,Counterfeiting_Forgery,Destruction_of_Property,Extortion_Blackmail,Robbery,Theft,SctyTotal,SctyRate,Drug_Violations,Gambling_Violations,Pornography,Prostitution,Weapon_Law_Violation,Animal_Cruelty
Adams County Sheriffs Office,ADAMS,2012,9860.0,620,62.9,145,14.70588235,0,0,16,88,0,0,0,41.0,404,40.97363083,2,0,84,1,100,0,2,215.0,71,7.200811359,34,0,0,0,37,0
Adams County Sheriffs Office,ADAMS,2013,9935.0,693,69.8,130,13.08505284,2,0,22,86,0,2,0,18.0,501,50.42778057,4,0,120,0,137,1,1,238.0,62,6.240563664,24,0,0,1,37,0
Adams County Sheriffs Office,ADAMS,2014,10025.0,688,68.6,165,16.45885287,1,0,11,117,0,1,0,35.0,480,47.88029925,10,0,120,2,144,1,1,202.0,43,4.289276808,28,0,0,0,15,0
Adams County Sheriffs Office,ADAMS,2015,9960.0,685,68.8,139,13.9558233,0,0,16,89,2,0,0,32.0,491,49.2971888,5,0,117,1,128,0,6,234.0,55,5.5220884,33,0,0,0,22,0
Adams County Sheriffs Office,ADAMS,2016,9975.0,571,57.2,166,16.64160401,1,0,13,118,2,1,0,31.0,339,33.98496241,0,0,83,1,107,0,3,145.0,66,6.616541353,49,0,0,0,17,0
Adams County Sheriffs Office,ADAMS,2017,10035.0,498,49.6,133,13.25361236,1,0,16,93,1,1,0,21.0,272,27.10513204,1,0,50,2,84,0,3,132.0,93,9.267563528,71,0,1,0,21,0
Adams County Sheriffs Office,ADAMS,2018,10090.0,456,45.2,142,14.07333994,0,0,12,104,1,1,0,24.0,271,26.85827552,0,0,60,1,105,0,2,103.0,43,4.261645193,26,0,0,0,17,0
Adams County Sheriffs Office,ADAMS,2019,10145.0,389,38.3,118,11.63134549,0,0,7,99,0,1,0,11.0,196,19.319862,3,0,39,1,58,0,0,95.0,75,7.392804337,66,0,0,0,9,0
Adams County Sheriffs Office,ADAMS,2020,10275.0,438,42.6,129,12.55474453,0,0,17,97,0,1,0,14.0,264,25.69343066,3,0,48,0,75,0,1,137.0,45,4.379562044,35,0,0,0,10,0
Adams County Sheriffs Office,ADAMS,2021,10410.0,677,65.0,181,17.38712776,2,0,19,134,0,4,0,22.0,468,44.95677233,1,0,73,2,125,4,4,259.0,28,2.689721422,20,0,2,0,6,0
COUNTY TOTAL,ADAMS,2012,19050.0,1915,100.5,346,18.2,0,0,19,252,1,3,0,71.0,1417,74.4,10,0,182,12,516,0,8,689.0,152,8,90,0,0,1,61,0
COUNTY TOTAL,ADAMS,2013,19200.0,1971,102.7,376,19.6,3,0,26,281,2,6,0,58.0,1472,76.7,7,0,199,25,551,1,8,681.0,123,6.4,67,0,0,2,54,0
COUNTY TOTAL,ADAMS,2014,19400.0,1960,101.0,434,22.4,1,0,19,314,1,3,0,96.0,1402,72.3,10,0,190,28,523,1,8,642.0,124,6.4,88,0,1,0,35,0
COUNTY TOTAL,ADAMS,2015,19410.0,1607,82.8,352,18.1,0,0,26,256,3,6,0,61.0,1128,58.1,8,0,189,17,326,0,11,577.0,127,6.5,93,0,0,0,34,0
COUNTY TOTAL,ADAMS,2016,19510.0,1398,71.7,373,19.1,1,0,18,280,2,2,0,70.0,876,44.9,1,0,144,6,255,0,8,462.0,149,7.6,116,0,1,1,31,0
COUNTY TOTAL,ADAMS,2017,19870.0,1323,66.6,334,16.8,1,0,29,226,4,2,0,72.0,819,41.2,5,0,128,11,300,0,4,371.0,170,8.6,139,0,1,0,30,0
COUNTY TOTAL,ADAMS,2018,20020.0,1217,60.8,335,16.7,0,0,23,248,1,2,0,61.0,751,37.5,1,0,124,15,260,0,2,349.0,131,6.5,96,0,2,0,33,0
COUNTY TOTAL,ADAMS,2019,20150.0,1034,51.3,287,14.2,0,0,20,225,0,1,0,41.0,577,28.6,4,0,89,10,182,0,1,291.0,170,8.4,145,0,2,0,23,0
COUNTY TOTAL,ADAMS,2020,20457.0,1091,53.3,253,12.4,1,0,23,193,0,1,0,35.0,744,36.4,3,0,95,4,296,0,3,343.0,94,4.6,76,0,0,0,18,0
